MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
57256,6.1,0.033,0.011,y,VLA,Horesh et al.2021
57256,22,0.06,0.02,y,VLA,Horesh et al.2021
57271,6.1,0.036,0.012,y,VLA,Horesh et al.2021
57271,22,0.069,0.023,y,VLA,Horesh et al.2021
57338,6.1,0.06,0.02,y,VLA,Horesh et al.2021
57338,22,0.033,0.011,y,VLA,Horesh et al.2021
57430,4.8,1.114,0.013,n,VLA,Horesh et al.2021
57430,7.4,1.321,0.011,n,VLA,Horesh et al.2021
57430,19,0.834,0.025,n,VLA,Horesh et al.2021
57430,21,0.808,0.02,n,VLA,Horesh et al.2021
57430,23,0.643,0.014,n,VLA,Horesh et al.2021
57430,25,0.587,0.025,n,VLA,Horesh et al.2021
57438,3,0.547,0.005,n,VLA,Horesh et al.2021
57438,4.8,0.899,0.019,n,VLA,Horesh et al.2021
57438,7.4,1.119,0.028,n,VLA,Horesh et al.2021
57438,9,1.204,0.014,n,VLA,Horesh et al.2021
57438,11,1.073,0.022,n,VLA,Horesh et al.2021
57438,13,1.103,0.021,n,VLA,Horesh et al.2021
57438,15,0.929,0.016,n,VLA,Horesh et al.2021
57438,17,0.784,0.014,n,VLA,Horesh et al.2021
57438,19,0.717,0.013,n,VLA,Horesh et al.2021
57438,21,0.57,0.014,n,VLA,Horesh et al.2021
57438,23,0.497,0.018,n,VLA,Horesh et al.2021
57438,25,0.45,0.012,n,VLA,Horesh et al.2021
57445,3,0.504,0.006,n,VLA,Horesh et al.2021
57445,4.5,0.69,0.005,n,VLA,Horesh et al.2021
57445,5.5,0.881,0.008,n,VLA,Horesh et al.2021
57445,6.5,1.036,0.011,n,VLA,Horesh et al.2021
57445,7.5,1.118,0.011,n,VLA,Horesh et al.2021
57445,9,1.072,0.014,n,VLA,Horesh et al.2021
57445,11,1.03,0.016,n,VLA,Horesh et al.2021
57445,13,0.932,0.012,n,VLA,Horesh et al.2021
57445,15,0.793,0.013,n,VLA,Horesh et al.2021
57445,17,0.703,0.014,n,VLA,Horesh et al.2021
57445,19,0.717,0.014,n,VLA,Horesh et al.2021
57445,21,0.699,0.017,n,VLA,Horesh et al.2021
57445,23,0.525,0.021,n,VLA,Horesh et al.2021
57445,25,0.429,0.02,n,VLA,Horesh et al.2021
57481,3,1.007,0.024,n,VLA,Horesh et al.2021
57481,4.5,0.951,0.011,n,VLA,Horesh et al.2021
57481,5.5,0.824,0.011,n,VLA,Horesh et al.2021
57481,6.5,0.756,0.017,n,VLA,Horesh et al.2021
57481,7.5,0.718,0.01,n,VLA,Horesh et al.2021
57481,8.5,0.686,0.013,n,VLA,Horesh et al.2021
57481,9.5,0.639,0.012,n,VLA,Horesh et al.2021
57481,10.5,0.638,0.012,n,VLA,Horesh et al.2021
57481,11.5,0.591,0.014,n,VLA,Horesh et al.2021
57481,12.5,0.578,0.015,n,VLA,Horesh et al.2021
57481,13.5,0.512,0.013,n,VLA,Horesh et al.2021
57481,14.5,0.453,0.013,n,VLA,Horesh et al.2021
57531,3,1.033,0.02,n,VLA,Horesh et al.2021
57531,5,0.854,0.012,n,VLA,Horesh et al.2021
57531,7,0.668,0.01,n,VLA,Horesh et al.2021
57531,9,0.578,0.01,n,VLA,Horesh et al.2021
