MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
58380,20,0.038,,y,ATCA,Wevers et al.2019
58407,20,0.074,,y,ATCA,Wevers et al.2019
58444,20,0.053,,y,ATCA,Wevers et al.2019
58594,7.25,0.104,,y,ATCA,Wevers et al.2021
58647,7.25,0.027,,y,ATCA,Wevers et al.2021
58952,7.25,0.046,,y,ATCA,Wevers et al.2021
59342,1.36,0.06,,y,MeerKAT,Cendes et al.2024
59969,1.36,0.04,,y,MeerKAT,Cendes et al.2024
60360,1.36,0.087,0.013,n,MeerKAT,Cendes et al.2024
60455,1.36,0.0531,0.0131,n,MeerKAT,Cendes et al.2024
