UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2018-12-03.8,15.5,0.08,,y,AMI-LA,Horesh et al.2018
2018 Dec 5,6,0.0165,,y,VLA,Cendes et al.2024
2019 May 5,3,0.3,,y,VLA,Cendes et al.2024
2021 June 12,6,0.343,0.015,n,VLA,Cendes et al.2024
2021 Oct 14,3,0.436,0.142,n,VLA,Cendes et al.2024
2022 Jan 7,1.5,0.329,,y,VLA,Cendes et al.2024
2022 Jan 7,2.5,0.166,0.03,n,VLA,Cendes et al.2024
2022 Jan 7,3.5,0.252,0.011,n,VLA,Cendes et al.2024
2022 Jan 7,5,0.265,0.014,n,VLA,Cendes et al.2024
2022 Jan 7,7,0.227,0.014,n,VLA,Cendes et al.2024
2022 Jan 7,9,0.161,0.01,n,VLA,Cendes et al.2024
2022 Jan 7,11,0.147,0.015,n,VLA,Cendes et al.2024
2022 Apr 30,2.1,0.33,,y,ATCA,Cendes et al.2024
2022 Apr 30,5.5,0.2,0.019,n,ATCA,Cendes et al.2024
2022 Apr 30,9,0.111,0.019,n,ATCA,Cendes et al.2024
2022 Apr 30,17,0.084,,y,ATCA,Cendes et al.2024
2022 Apr 30,19,0.141,,y,ATCA,Cendes et al.2024
2022 May 7,0.88,0.589,,y,MeerKAT,Cendes et al.2024
2022 May 7,1.36,0.171,0.025,n,MeerKAT,Cendes et al.2024
