MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
58437,15.5,0.085,,y,AMI,Cendes et al.2022/Horesh et al. 2018
58450,97.5,0.038,,y,ALMA,Gomez et al. 2020
58471,97.5,0.043,,y,ALMA,Gomez et al. 2020
59101,0.89,0.9,,y,ASKAP,Cendes et al.2022
59109,3,0.45,,y,VLA,Cendes et al.2022
59376,5,1.388,0.019,n,VLA,Cendes et al.2022
59376,7,1,0.018,n,VLA,Cendes et al.2022
59417,0.89,1.3,0.03,n,ASKAP,Cendes et al.2022/Horesh et al. (2022)
59530,0.34,4.4,,y,VLA,Cendes et al.2022
59530,1.37,4.753,0.084,n,VLA,Cendes et al.2022
59530,1.62,4.896,0.072,n,VLA,Cendes et al.2022
59530,1.88,4.799,0.078,n,VLA,Cendes et al.2022
59530,2.5,4.33,0.012,n,VLA,Cendes et al.2022
59530,3.5,3.668,0.051,n,VLA,Cendes et al.2022
59530,5,2.939,0.03,n,VLA,Cendes et al.2022
59530,7,2.327,0.027,n,VLA,Cendes et al.2022
59530,9,2.03,0.027,n,VLA,Cendes et al.2022
59530,11,1.704,0.033,n,VLA,Cendes et al.2022
59530,14,1.56,0.052,n,VLA,Cendes et al.2022
59530,17,1.262,0.011,n,VLA,Cendes et al.2022
59530,20,1.067,0.024,n,VLA,Cendes et al.2022
59530,23,0.98,0.02,n,VLA,Cendes et al.2022
59544,97.5,0.451,0.029,n,ALMA,Cendes et al.2022
59544,240,0.198,0.024,n,ALMA,Cendes et al.2022
59603,0.34,5.2,,y,VLA,Cendes et al.2022
59603,1.12,7.656,0.2,n,VLA,Cendes et al.2022
59603,1.37,8.416,0.119,n,VLA,Cendes et al.2022
59603,1.62,8.416,0.119,n,VLA,Cendes et al.2022
59603,1.88,8.134,0.087,n,VLA,Cendes et al.2022
59603,2.5,6.393,0.113,n,VLA,Cendes et al.2022
59603,3.5,5.425,0.061,n,VLA,Cendes et al.2022
59603,5,4.381,0.036,n,VLA,Cendes et al.2022
59603,7,3.576,0.046,n,VLA,Cendes et al.2022
59603,9,3.11,0.052,n,VLA,Cendes et al.2022
59603,11,2.862,0.055,n,VLA,Cendes et al.2022
59603,14,2.564,0.055,n,VLA,Cendes et al.2022
59603,17,2.258,0.024,n,VLA,Cendes et al.2022
59603,20,1.974,0.042,n,VLA,Cendes et al.2022
59603,23,1.726,0.023,n,VLA,Cendes et al.2022
59605,97.5,0.769,0.023,n,ALMA,Cendes et al.2022
59655,0.34,4,,y,VLA,Cendes et al.2022
59655,1.12,8.449,0.236,n,VLA,Cendes et al.2022
59655,1.37,8.74,0.093,n,VLA,Cendes et al.2022
59655,1.62,8.712,0.112,n,VLA,Cendes et al.2022
59655,1.88,8.649,0.109,n,VLA,Cendes et al.2022
59655,2.5,7.743,0.115,n,VLA,Cendes et al.2022
59655,3.5,6.658,0.146,n,VLA,Cendes et al.2022
59655,5,4.807,0.209,n,VLA,Cendes et al.2022
59655,7,4.807,0.209,n,VLA,Cendes et al.2022
59655,9,4.249,0.124,n,VLA,Cendes et al.2022
59655,11,3.789,0.106,n,VLA,Cendes et al.2022
59655,14,4.424,0.052,n,VLA,Cendes et al.2022
59655,17,2.886,0.05,n,VLA,Cendes et al.2022
59655,20,2.541,0.078,n,VLA,Cendes et al.2022
59655,23,2.107,0.831,n,VLA,Cendes et al.2022
59657,97.5,1.264,0.018,n,ALMA,Cendes et al.2022
59657,240,0.642,0.021,n,ALMA,Cendes et al.2022
59686,0.82,3.162,0.04,n,MeerKAT,Cendes et al.2022
59686,1.3,5.325,0.041,n,MeerKAT,Cendes et al.2022
59700,2.1,7.042,0.138,n,ATCA,Cendes et al.2022
59700,5.5,7.837,0.14,n,ATCA,Cendes et al.2022
59700,9,6.153,0.137,n,ATCA,Cendes et al.2022
