UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2020 Aug 23,6,0.014,,y,VLA,Cecdes et al.2024
2021 Jun 18,6,0.053,,y,VLA,Cecdes et al.2024
2022 Oct 16,6,0.147,0.011,n,VLA,Cecdes et al.2024
2022 Dec 8,1.25,0.749,,y,VLA,Cecdes et al.2024
2022 Dec 8,1.75,0.218,0.041,n,VLA,Cecdes et al.2024
2022 Dec 8,2.5,0.209,0.032,n,VLA,Cecdes et al.2024
2022 Dec 8,3.5,0.18,0.001,n,VLA,Cecdes et al.2024
2022 Dec 8,5,0.155,0.018,n,VLA,Cecdes et al.2024
2022 Dec 8,7,0.109,0.015,n,VLA,Cecdes et al.2024
2022 Dec 8,9,0.088,0.016,n,VLA,Cecdes et al.2024
2022 Dec 8,11,0.085,0.012,n,VLA,Cecdes et al.2024
