MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
57383,2.1,0.464,0.093,n,ATCA,Christy et al.2024
57619,2.1,0.4,0.106,n,ATCA,Christy et al.2024
58545,97.5,0.143,0.028,n,ALMA,Christy et al.2024
58554,16.7,0.22,0.024,n,ATCA,Christy et al.2024
58554,21.2,0.206,0.033,n,ATCA,Christy et al.2024
58566,97.5,0.089,0.02,n,ALMA,Christy et al.2024
58584,17,0.235,0.036,n,ATCA,Christy et al.2024
58584,19,0.216,0.038,n,ATCA,Christy et al.2024
58586,97.5,0.06,0.017,n,ALMA,Christy et al.2024
58592,5.5,0.418,0.052,n,ATCA,Christy et al.2024
58592,9,0.33,0.041,n,ATCA,Christy et al.2024
58618,2.1,0.44,0.082,n,ATCA,Christy et al.2024
58637,2.1,0.789,0.13,n,ATCA,Christy et al.2024
58637,5.5,0.63,0.074,n,ATCA,Christy et al.2024
58637,9,0.493,0.064,n,ATCA,Christy et al.2024
58637,17,0.276,0.045,n,ATCA,Christy et al.2024
58637,19,0.266,0.05,n,ATCA,Christy et al.2024
58654,97.5,0.031,0,y,ALMA,Christy et al.2024
58691,2.1,1.153,0.182,n,ATCA,Christy et al.2024
58691,5.5,0.759,0.072,n,ATCA,Christy et al.2024
58691,9,0.497,0.049,n,ATCA,Christy et al.2024
58691,17,0.272,0.047,n,ATCA,Christy et al.2024
58691,19,0.194,0.034,n,ATCA,Christy et al.2024
58962,2.1,3.589,0.306,n,ATCA,Christy et al.2024
58962,5,5.044,0.343,n,ATCA,Christy et al.2024
58962,6,4.833,0.281,n,ATCA,Christy et al.2024
58962,8.5,3.907,0.233,n,ATCA,Christy et al.2024
58962,9.5,3.453,0.212,n,ATCA,Christy et al.2024
58962,17,1.806,0.205,n,ATCA,Christy et al.2024
58962,19,1.494,0.228,n,ATCA,Christy et al.2024
59298,5,3.568,0.332,n,ATCA,Christy et al.2024
59298,6,3.078,0.227,n,ATCA,Christy et al.2024
59298,8.5,1.709,0.168,n,ATCA,Christy et al.2024
59298,9.5,1.265,0.157,n,ATCA,Christy et al.2024
59314,2.1,5,0.5,n,ATCA,Christy et al.2024
59323,1.3,4.4,0.36,n,MeerKAT,Christy et al.2024
59852,1.6,5.503,0.415,n,ATCA,Christy et al.2024
59852,2.6,4.015,0.289,n,ATCA,Christy et al.2024
59852,5,2.418,0.174,n,ATCA,Christy et al.2024
59852,6,2.087,0.139,n,ATCA,Christy et al.2024
59852,8.5,1.414,0.107,n,ATCA,Christy et al.2024
59852,9.5,1.299,0.104,n,ATCA,Christy et al.2024
59969,0.8,6.764,0.392,n,MeerKAT,Christy et al.2024
59969,1.3,6.145,0.346,n,MeerKAT,Christy et al.2024
58609.5,0.8875,1.24,0.33,n,RACS-low,Anumarlapudi et al.2024
59250.6,1.3675,4.69,0.21,n,RACS-mid,Anumarlapudi et al.2024
59602.7,1.6555,6.4,0.2,n,RACS-high,Anumarlapudi et al.2024
59684.5,0.8875,5.87,0.29,n,RACS-low,Anumarlapudi et al.2024
