MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
58551.05,10,0.15,0.012,n,VLA,Goodwin et al.2022
58587.09306,24,0.262,0.011,n,VLA,Goodwin et al.2022
58587.09306,11,0.286,0.012,n,VLA,Goodwin et al.2022
58587.09306,9,0.331,0.009,n,VLA,Goodwin et al.2022
58587.09306,7.511,0.343,0.008,n,VLA,Goodwin et al.2022
58587.09306,6.487,0.356,0.009,n,VLA,Goodwin et al.2022
58587.09306,5.511,0.383,0.009,n,VLA,Goodwin et al.2022
58587.09306,4.487,0.455,0.011,n,VLA,Goodwin et al.2022
58615.86042,14,0.233,0.008,n,VLA,Goodwin et al.2022
58615.86042,11,0.258,0.01,n,VLA,Goodwin et al.2022
58615.86042,9,0.32,0.01,n,VLA,Goodwin et al.2022
58615.86042,7.5,0.36,0.009,n,VLA,Goodwin et al.2022
58615.86042,6.5,0.362,0.01,n,VLA,Goodwin et al.2022
58615.86042,5.5,0.375,0.009,n,VLA,Goodwin et al.2022
58615.86042,4.5,0.434,0.01,n,VLA,Goodwin et al.2022
58623.99375,7.45,0.377,0.022,n,VLA,Goodwin et al.2022
58623.99375,6.49,0.472,0.021,n,VLA,Goodwin et al.2022
58623.99375,5.51,0.401,0.018,n,VLA,Goodwin et al.2022
58623.99375,4.49,0.564,0.02,n,VLA,Goodwin et al.2022
58623.99375,3.76,0.582,0.027,n,VLA,Goodwin et al.2022
58623.99375,3.24,0.636,0.022,n,VLA,Goodwin et al.2022
58623.99375,2.76,0.616,0.029,n,VLA,Goodwin et al.2022
58623.99375,2.24,0.678,0.061,n,VLA,Goodwin et al.2022
58623.99375,1.776,0.906,0.142,n,VLA,Goodwin et al.2022
58653.98611,10.999,0.306,0.012,n,VLA,Goodwin et al.2022
58653.98611,8.999,0.355,0.012,n,VLA,Goodwin et al.2022
58653.98611,7.511,0.454,0.014,n,VLA,Goodwin et al.2022
58653.98611,6.487,0.484,0.014,n,VLA,Goodwin et al.2022
58653.98611,5.511,0.522,0.015,n,VLA,Goodwin et al.2022
58653.98611,4.487,0.645,0.019,n,VLA,Goodwin et al.2022
58653.98611,3.755,0.617,0.02,n,VLA,Goodwin et al.2022
58653.98611,3.243,0.677,0.018,n,VLA,Goodwin et al.2022
