MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
58034,3,0.33,,y,VLA,Stein et al.2021
58624.255,15.5,0.464,0.03872,n,AMI,Stein et al.2021
58625,11.511,0.412,0.031,n,VLA,Stein et al.2021
58625,10.487,0.44,0.028,n,VLA,Stein et al.2021
58625,8.487001,0.29,0.028,n,VLA,Stein et al.2021
58625,9.511001,0.408,0.029,n,VLA,Stein et al.2021
58637,5.07,0.1,,y,eMERLIN,Stein et al.2021
58653,11.511,0.771,0.034,n,VLA,Stein et al.2021
58653,9.511001,0.73,0.029,n,VLA,Stein et al.2021
58653,8.487001,0.68,0.03,n,VLA,Stein et al.2021
58653,7.511001,0.558,0.03,n,VLA,Stein et al.2021
58653,6.487001,0.443,0.03,n,VLA,Stein et al.2021
58653,5.511001,0.324,0.029,n,VLA,Stein et al.2021
58653,4.487001,0.319,0.037,n,VLA,Stein et al.2021
58653,3.499001,0.103,0.028,n,VLA,Stein et al.2021
58653,10.487,0.756,0.03,n,VLA,Stein et al.2021
58653.08,1.4,0.104,0.018,n,MeerKAT,Stein et al.2021
58654,5.07,0.354,0.023,y,eMERLIN,Stein et al.2021
58654.0824,15.5,0.73,0.066844,n,AMI,Stein et al.2021
58694,1.4,0.111,0.017,n,MeerKAT,Stein et al.2021
58702.0811,15.5,0.978,0.056852,n,AMI,Stein et al.2021
58703,6.687001,0.987,0.03,n,VLA,Stein et al.2021
58703,3.691001,0.419,0.037,n,VLA,Stein et al.2021
58703,3.179001,0.255,0.047,n,VLA,Stein et al.2021
58703,2.755001,0.345,0.05,n,VLA,Stein et al.2021
58703,4.737001,0.698,0.03,n,VLA,Stein et al.2021
58703,7.711001,1.117,0.03,n,VLA,Stein et al.2021
58703,2.243,0.249,0.064,n,VLA,Stein et al.2021
58703,5.761001,0.829,0.033,n,VLA,Stein et al.2021
58703,11.161,1.356,0.032,n,VLA,Stein et al.2021
58703,10.137,1.31,0.032,n,VLA,Stein et al.2021
58703,9.511001,1.238,0.03,n,VLA,Stein et al.2021
58703,8.487001,1.194,0.031,n,VLA,Stein et al.2021
58761,11.161,0.785,0.03,n,VLA,Stein et al.2021
58761,10.137,0.884,0.029,n,VLA,Stein et al.2021
58761,9.511001,0.921,0.028,n,VLA,Stein et al.2021
58761,6.687001,1.285,0.03,n,VLA,Stein et al.2021
58761,7.711001,1.111,0.028,n,VLA,Stein et al.2021
58761,5.761001,1.379,0.03,n,VLA,Stein et al.2021
58761,4.737001,1.349,0.029,n,VLA,Stein et al.2021
58761,3.755001,1.032,0.036,n,VLA,Stein et al.2021
58761,3.243001,0.92,0.034,n,VLA,Stein et al.2021
58761,2.755,0.744,0.039,n,VLA,Stein et al.2021
58761,8.487001,1.074,0.03,n,VLA,Stein et al.2021
58761,2.243,0.351,0.052,n,VLA,Stein et al.2021
58761.79,1.4,0.152,0.019,n,MeerKAT,Stein et al.2021
58761.8307,15.5,0.676,0.043891,n,AMI,Stein et al.2021
58817.5,1.4,0.178,0.032,n,MeerKAT,Stein et al.2021
58818.7579,15.5,0.503,0.039147,n,AMI,Stein et al.2021
58637.92,5.1,0.16,0.03,n,e-MERLIN,Cannizzaro et al.2020
58654.88,5.1,0.34,0.02,n,e-MERLIN,Cannizzaro et al.2020
58668.94,5.1,0.41,0.09,n,e-MERLIN,Cannizzaro et al.2020
58669.94,5.1,0.46,0.02,n,e-MERLIN,Cannizzaro et al.2020
58670.94,5.1,0.49,0.02,n,e-MERLIN,Cannizzaro et al.2020
58671.94,5.1,0.48,0.02,n,e-MERLIN,Cannizzaro et al.2020
58687.88,5.1,0.68,0.13,n,e-MERLIN,Cannizzaro et al.2020
58691.89,5.1,0.65,0.04,n,e-MERLIN,Cannizzaro et al.2020
58701.75,5.1,0.77,0.03,n,e-MERLIN,Cannizzaro et al.2020
58738.68,5.1,1.21,0.03,n,e-MERLIN,Cannizzaro et al.2020
58688.88,1.5,0.12,0,y,e-MERLIN,Cannizzaro et al.2020
58689.91,1.5,0.13,0,y,e-MERLIN,Cannizzaro et al.2020
58690.89,1.5,0.115,0,y,e-MERLIN,Cannizzaro et al.2020
58627,5,0.09,0.01,n,VLA,Cendes et al.2021
58627,7,0.19,0.01,n,VLA,Cendes et al.2021
58627,13,0.48,0.02,n,VLA,Cendes et al.2021
58627,15,0.54,0.02,n,VLA,Cendes et al.2021
58627,17,0.58,0.02,n,VLA,Cendes et al.2021
58632,3.4,0.077,0.03,n,VLA,Cendes et al.2021
58632,9,0.43,0.03,n,VLA,Cendes et al.2021
58632,11,0.51,0.02,n,VLA,Cendes et al.2021
58632,13,0.63,0.04,n,VLA,Cendes et al.2021
58632,15,0.61,0.03,n,VLA,Cendes et al.2021
58632,17,0.68,0.03,n,VLA,Cendes et al.2021
58632,19,0.73,0.04,n,VLA,Cendes et al.2021
58632,21,0.71,0.05,n,VLA,Cendes et al.2021
