UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2017 Dec 1,3,0.39,,y,VLA,Cendes et al.2024
2019 May 21,9,0.06,,y,VLA,Cendes et al.2024
2019 June 14,9,0.026,,y,VLA,Cendes et al.2024
2019 Sept 1,3,0.3,,y,VLA,Cendes et al.2024
2021 June 11,6,1.071,0.032,n,VLA,Cendes et al.2024
2021 Dec 23,1.5,0.237,,y,VLA,Cendes et al.2024
2021 Dec 23,2.5,0.156,0.07,n,VLA,Cendes et al.2024
2021 Dec 23,3.5,0.396,0.046,n,VLA,Cendes et al.2024
2021 Dec 23,5,0.733,0.041,n,VLA,Cendes et al.2024
2021 Dec 23,7,0.485,0.059,n,VLA,Cendes et al.2024
2021 Dec 23,9,0.401,0.014,n,VLA,Cendes et al.2024
2021 Dec 23,11,0.338,0.015,n,VLA,Cendes et al.2024
2021 Dec 23,14,0.322,0.015,n,VLA,Cendes et al.2024
2021 Dec 23,17,0.2,0.012,n,VLA,Cendes et al.2024
2021 Dec 23,20,0.092,0.016,n,VLA,Cendes et al.2024
2021 Dec 23,24,0.077,0.014,n,VLA,Cendes et al.2024
2022 Oct 7,1.5,0.335,,y,VLA,Cendes et al.2024
2022 Oct 7,2.5,0.245,0.026,n,VLA,Cendes et al.2024
2022 Oct 7,3.5,0.309,0.01,n,VLA,Cendes et al.2024
2022 Oct 7,5,0.205,0.032,n,VLA,Cendes et al.2024
2022 Oct 7,7,0.235,0.018,n,VLA,Cendes et al.2024
2022 Oct 7,9,0.184,0.013,n,VLA,Cendes et al.2024
2022 Oct 7,11,0.111,0.015,n,VLA,Cendes et al.2024
