UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2017 Oct 28,3,0.3,,y,VLA,Cendes et al.2024
2020 Oct 11,3,0.497,,y,VLA,Cendes et al.2024
2021 June 11,6,0.766,0.009,n,VLA,Cendes et al.2024
2021 Dec 4,1.25,0.852,0.12,n,VLA,Cendes et al.2024
2021 Dec 4,1.75,0.978,0.053,n,VLA,Cendes et al.2024
2021 Dec 4,2.5,0.949,0.039,n,VLA,Cendes et al.2024
2021 Dec 4,3.5,0.847,0.02,n,VLA,Cendes et al.2024
2021 Dec 4,5,0.657,0.022,n,VLA,Cendes et al.2024
2021 Dec 4,7,0.484,0.024,n,VLA,Cendes et al.2024
2021 Dec 4,9,0.385,0.034,n,VLA,Cendes et al.2024
2021 Dec 4,11,0.222,0.023,n,VLA,Cendes et al.2024
2021 Dec 4,13.5,0.161,0.023,n,VLA,Cendes et al.2024
2021 Dec 4,16.5,0.171,0.015,n,VLA,Cendes et al.2024
2021 Dec 4,20,0.182,0.011,n,VLA,Cendes et al.2024
2021 Dec 4,24,0.123,0.012,n,VLA,Cendes et al.2024
2022 May 5,0.88,0.702,0.04,n,MeerKAT,Cendes et al.2024
2022 May 5,1.36,1.053,0.02,n,MeerKAT,Cendes et al.2024
2022 Apr 30,2.1,0.77,0.061,n,ATCA,Cendes et al.2024
2022 Apr 30,5.5,0.543,0.025,n,ATCA,Cendes et al.2024
2022 Apr 30,9,0.3,0.013,n,ATCA,Cendes et al.2024
2022 Apr 30,17,0.122,0.032,n,ATCA,Cendes et al.2024
2022 Apr 30,19,0.243,,y,ATCA,Cendes et al.2024
2022 Dec 19,1.25,0.846,0.175,n,ATCA,Cendes et al.2024
2022 Dec 19,1.75,0.735,0.048,n,ATCA,Cendes et al.2024
2022 Dec 19,2.5,0.553,0.028,n,ATCA,Cendes et al.2024
2022 Dec 19,3.5,0.567,0.018,n,ATCA,Cendes et al.2024
2022 Dec 19,5,0.43,0.02,n,ATCA,Cendes et al.2024
2022 Dec 19,7,0.392,0.015,n,ATCA,Cendes et al.2024
2022 Dec 19,9,0.272,0.019,n,ATCA,Cendes et al.2024
2022 Dec 19,11,6,,y,ATCA,Cendes et al.2024
2022 Dec 19,13.5,4.2,,y,ATCA,Cendes et al.2024
2022 Dec 19,16.5,0.205,0.01,n,ATCA,Cendes et al.2024
2022 Dec 19,20,0.076,0.02,n,ATCA,Cendes et al.2024
2022 Dec 19,24,0.104,0.016,n,ATCA,Cendes et al.2024
2023 Jan 4,0.88,0.702,0.04,n,MeerKAT,Cendes et al.2024
