MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
60377.79,5.5,0.57,0.034,n,VLA,Wang et al.2025
60386.82,5.5,0.27,0.022,n,VLA,Wang et al.2025
60398.86,5.5,1.15,0.061,n,VLA,Wang et al.2025
60399.84,5.5,0.55,0.03,n,VLA,Wang et al.2025
60399.86,5.5,0.53,0.03,n,VLA,Wang et al.2025
60402.83,5.5,0.37,0.022,n,VLA,Wang et al.2025
60402.86,5.5,0.31,0.018,n,VLA,Wang et al.2025
60416.69,5.5,0.82,0.054,n,VLA,Wang et al.2025
60419.7,5.5,0.94,0.05,n,VLA,Wang et al.2025
60419.72,5.5,0.89,0.057,n,VLA,Wang et al.2025
60432.95,5.5,0.86,0.082,n,ATCA,Wang et al.2025
60436.94,5.5,1.05,0.059,n,ATCA,Wang et al.2025
60437.94,5.5,1.43,0.091,n,VLA,Wang et al.2025
60440.95,5.5,0.66,0.049,n,ATCA,Wang et al.2025
60449,5.5,2.51,0.134,n,ATCA,Wang et al.2025
60457.69,5.5,1.39,0.075,n,VLA,Wang et al.2025
60461.7,5.5,1.65,0.085,n,VLA,Wang et al.2025
60462.91,5.5,1.35,0.101,n,ATCA,Wang et al.2025
60467.61,5.5,1.64,0.093,n,VLA,Wang et al.2025
60467.9,5.5,2.52,0.138,n,ATCA,Wang et al.2025
60469.89,5.5,1.9,0.099,n,ATCA,Wang et al.2025
60474.6,5.5,1.09,0.061,n,VLA,Wang et al.2025
60477.89,5.5,2.95,0.15,n,ATCA,Wang et al.2025
60478.63,5.5,1.96,0.109,n,VLA,Wang et al.2025
60480.89,5.5,2.15,0.111,n,ATCA,Wang et al.2025
60481.6,5.5,1.86,0.105,n,VLA,Wang et al.2025
60482.87,5.5,1.59,0.084,n,ATCA,Wang et al.2025
60484.86,5.5,1.5,0.079,n,ATCA,Wang et al.2025
60485.57,5.5,1.67,0.111,n,VLA,Wang et al.2025
60489.87,5.5,2.09,0.108,n,ATCA,Wang et al.2025
60491.89,5.5,2.98,0.151,n,ATCA,Wang et al.2025
60494.51,5.5,1.11,0.061,n,VLA,Wang et al.2025
60494.53,5.5,1.11,0.063,n,VLA,Wang et al.2025
60496.4,5.07,1.35,0.175,n,e-MERLIN,Wang et al.2025
60497.85,5.5,2.31,0.119,n,ATCA,Wang et al.2025
60499.57,5.5,1.92,0.164,n,VLA,Wang et al.2025
60501.34,5.07,2.47,0.3,n,e-MERLIN,Wang et al.2025
60505.81,5.07,1.02,0.138,n,e-MERLIN,Wang et al.2025
60508.31,5.07,0.91,0.115,n,e-MERLIN,Wang et al.2025
60510.51,5.5,1.54,0.084,n,VLA,Wang et al.2025
60510.91,5.5,2.09,0.109,n,ATCA,Wang et al.2025
60512.29,5.07,1.18,0.145,n,e-MERLIN,Wang et al.2025
60512.84,5.5,2.01,0.103,n,ATCA,Wang et al.2025
60514.35,5.07,1.3,0.19,n,e-MERLIN,Wang et al.2025
60515.82,5.5,2.41,0.126,n,ATCA,Wang et al.2025
60516.61,5.5,1.99,0.102,n,VLA,Wang et al.2025
60519.35,5.07,0.78,0.115,n,e-MERLIN,Wang et al.2025
60522.52,5.5,1.65,0.085,n,VLA,Wang et al.2025
60523.23,5.07,1.69,0.214,n,e-MERLIN,Wang et al.2025
