UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2020/10/6 17:19,10,0.065,0.007,n,VLA-B,Goodwin et al.2023
2020/10/15 23:15,11,0.061,0.006,n,VLA-B,Goodwin et al.2023
2020/10/15 23:15,9,0.068,0.01,n,VLA-B,Goodwin et al.2023
2020/10/15 23:15,4.55,0.04,0.013,n,VLA-B,Goodwin et al.2023
2020/10/15 23:15,5.04,0.047,0.016,n,VLA-B,Goodwin et al.2023
2020/10/15 23:15,6.13,0.051,0.0063,n,VLA-B,Goodwin et al.2023
2020/10/15 23:15,7.6,0.063,0.012,n,VLA-B,Goodwin et al.2023
2020/12/17 13:35,16.5,0.0988,0.01,n,VLA-A,Goodwin et al.2023
2020/12/17 13:35,13.5,0.137,0.01,n,VLA-A,Goodwin et al.2023
2020/12/17 13:35,11,0.137,0.0095,n,VLA-A,Goodwin et al.2023
2020/12/17 13:35,9,0.134,0.008,n,VLA-A,Goodwin et al.2023
2020/12/17 13:35,7.5,0.139,0.011,n,VLA-A,Goodwin et al.2023
2020/12/17 13:35,6.5,0.134,0.015,n,VLA-A,Goodwin et al.2023
2020/12/17 13:35,5.5,0.091,0.012,n,VLA-A,Goodwin et al.2023
2020/12/17 13:35,4.5,0.075,0.011,n,VLA-A,Goodwin et al.2023
2020/12/17 13:35,3.76,0.06,0.013,n,VLA-A,Goodwin et al.2023
2020/12/17 13:35,3.24,0.053,0.025,n,VLA-A,Goodwin et al.2023
2021/6/3 0:52,11,0.139,0.011,n,VLA-C->D,Goodwin et al.2023
2021/6/3 0:52,9,0.198,0.009,n,VLA-C->D,Goodwin et al.2023
2021/6/3 0:52,7.5,0.175,0.014,n,VLA-C->D,Goodwin et al.2023
2021/6/3 0:52,6.5,0.241,0.016,n,VLA-C->D,Goodwin et al.2023
2021/6/3 0:52,5.5,0.256,0.017,n,VLA-C->D,Goodwin et al.2023
2021/6/3 0:52,4.5,0.252,0.017,n,VLA-C->D,Goodwin et al.2023
2021/6/3 0:52,3.5,0.228,0.027,n,VLA-C->D,Goodwin et al.2023
2021/6/3 0:52,2.5,0.251,0.1,n,VLA-C->D,Goodwin et al.2023
2021/8/14 17:42,1.28,0.094,0.015,n,MeerKAT,Goodwin et al.2023
2022/5/11 22:09,1.28,0.141,0.018,n,MeerKAT,Goodwin et al.2023
2022/6/23 14:20,1.26,0.141,0.029,n,uGMRT,Goodwin et al.2023
2022/6/23 14:20,0.65,0.261,,y,uGMRT,Goodwin et al.2023
