UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference,
2021 Feb 23,9,0.552,0.03904,n,VLA-A,Goodwin et al.2023,
2021 Feb 23,11,0.493,0.03486,n,VLA-A,Goodwin et al.2023,
2021 Feb 27,1.26,0.244,0.1436,n,VLA-A,Goodwin et al.2023,
2021 Feb 27,1.78,0.294,0.1506,n,VLA-A,Goodwin et al.2023,
2021 Feb 27,3,0.412,0.1446,n,VLA-A,Goodwin et al.2023,
2021 Feb 27,4.5,0.5,0.125,n,VLA-A,Goodwin et al.2023,
2021 Feb 27,5.51,0.543,0.1356,n,VLA-A,Goodwin et al.2023,
2021 Feb 27,6.49,0.576,0.1442,n,VLA-A,Goodwin et al.2023,
2021 Feb 27,7.51,0.564,0.03928,n,VLA-A,Goodwin et al.2023,
2021 Feb 27,9,0.517,0.03834,n,VLA-A,Goodwin et al.2023,
2021 Feb 27,11,0.565,0.0393,n,VLA-A,Goodwin et al.2023,
2021 May 07,2.75,0.461,0.1913,n,VLA-D,Goodwin et al.2023,
2021 May 07,3.25,0.476,0.1958,n,VLA-D,Goodwin et al.2023,
2021 May 07,5.51,0.504,0.1258,n,VLA-D,Goodwin et al.2023,
2021 May 07,6.49,0.495,0.123,n,VLA-D,Goodwin et al.2023,
2021 May 07,7.51,0.47,0.0334,n,VLA-D,Goodwin et al.2023,
2021 May 07,9,0.44,0.0308,n,VLA-D,Goodwin et al.2023,
2021 May 07,11,0.39,0.0278,n,VLA-D,Goodwin et al.2023,
2021 May 07,15,0.297,0.02094,n,VLA-D,Goodwin et al.2023,
2021 Aug 14,1.284,0.373,0.1868,n,MeerKAT,Goodwin et al.2023,
2021 Aug 11,1.52,0.366,0.2164,n,VLA-C,Goodwin et al.2023,
2021 Aug 11,2.5,0.457,0.1741,n,VLA-C,Goodwin et al.2023,
2021 Aug 11,3.24,0.468,0.1704,n,VLA-C,Goodwin et al.2023,
2021 Aug 11,4.49,0.41,0.116,n,VLA-C,Goodwin et al.2023,
2021 Aug 11,5.51,0.284,0.0798,n,VLA-C,Goodwin et al.2023,
2021 Aug 11,6.49,0.266,0.0762,n,VLA-C,Goodwin et al.2023,
2021 Aug 11,7.51,0.207,0.02414,n,VLA-C,Goodwin et al.2023,
2021 Aug 11,9,0.186,0.01272,n,VLA-C,Goodwin et al.2023,
2021 Aug 11,11,0.147,0.01194,n,VLA-C,Goodwin et al.2023,
2021 Aug 11,15.08,0.115,0.0083,n,VLA-C,Goodwin et al.2023,
2021 Oct 18,1.26,0.355,0.181,n,VLA-B,Goodwin et al.2023,
2021 Oct 18,1.65,0.49,0.288,n,VLA-B,Goodwin et al.2023,
2021 Oct 18,1.9,0.353,0.2192,n,VLA-B,Goodwin et al.2023,
2021 Oct 18,2.24,0.301,0.1443,n,VLA-B,Goodwin et al.2023,
2021 Oct 18,2.75,0.274,0.1112,n,VLA-B,Goodwin et al.2023,
2021 Oct 18,3.24,0.247,0.0991,n,VLA-B,Goodwin et al.2023,
2021 Oct 18,3.75,0.259,0.1027,n,VLA-B,Goodwin et al.2023,
2021 Oct 18,5.61,0.156,0.0562,n,VLA-B,Goodwin et al.2023,
2021 Oct 18,6.61,0.16,0.054,n,VLA-B,Goodwin et al.2023,
2021 Oct 18,7.57,0.135,0.0247,n,VLA-B,Goodwin et al.2023,
2021 Oct 18,9,0.109,0.01518,n,VLA-B,Goodwin et al.2023,
2021 Oct 18,15.08,0.053,0.007054,n,VLA-B,Goodwin et al.2023,
2021 Dec 14,0.65,0.44,0.176,n,uGMRT,Goodwin et al.2023,
2021 Dec 27,0.815,0.348,0.134,n,MeerKAT,Goodwin et al.2023,
2021 Dec 14,1.25,0.381,0.1884,n,VLA-B,Goodwin et al.2023,
2021 Dec 14,1.75,0.332,0.1608,n,VLA-B,Goodwin et al.2023,
2021 Dec 14,2.31,0.28,0.126,n,VLA-B,Goodwin et al.2023,
2021 Dec 14,2.87,0.228,0.0944,n,VLA-B,Goodwin et al.2023,
2021 Dec 14,3.3,0.227,0.0931,n,VLA-B,Goodwin et al.2023,
2021 Dec 14,3.75,0.134,0.0672,n,VLA-B,Goodwin et al.2023,
2021 Dec 14,5,0.145,0.044,n,VLA-B,Goodwin et al.2023,
