UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2021.4.5,5,0.274,0.093,n,ATCA,Goodwin et al.2024
2021.4.5,6,0.27,0.1,n,ATCA,Goodwin et al.2024
2021.4.5,8.5,0.274,0.047,n,ATCA,Goodwin et al.2024
2021.4.5,9.5,0.269,0.043,n,ATCA,Goodwin et al.2024
2021.6.6,2.6,0.279,0.149,n,ATCA,Goodwin et al.2024
2021.6.6,5,0.35,0.118,n,ATCA,Goodwin et al.2024
2021.6.6,6,0.373,0.123,n,ATCA,Goodwin et al.2024
2021.6.6,8.5,0.409,0.057,n,ATCA,Goodwin et al.2024
2021.6.6,9.5,0.399,0.051,n,ATCA,Goodwin et al.2024
2021.10.5,2.1,0.239,0.153,n,ATCA,Goodwin et al.2024
2021.10.5,5,0.409,0.146,n,ATCA,Goodwin et al.2024
2021.10.5,6,0.503,0.171,n,ATCA,Goodwin et al.2024
2021.10.5,8.5,0.6,0.105,n,ATCA,Goodwin et al.2024
2021.10.5,9.5,0.562,0.082,n,ATCA,Goodwin et al.2024
2021.11.23,1.6,0.327,0.2,n,ATCA,Goodwin et al.2024
2021.11.23,2.6,0.558,0.301,n,ATCA,Goodwin et al.2024
2021.11.23,5,0.528,0.183,n,ATCA,Goodwin et al.2024
2021.11.23,6,0.573,0.193,n,ATCA,Goodwin et al.2024
2021.11.23,8.5,0.717,0.096,n,ATCA,Goodwin et al.2024
2021.11.23,9.5,0.773,0.101,n,ATCA,Goodwin et al.2024
2021.11.23,17.2,0.323,0.035,n,ATCA,Goodwin et al.2024
2021.11.23,16.2,0.347,0.026,n,ATCA,Goodwin et al.2024
2021.11.23,21.7,0.381,0.044,n,ATCA,Goodwin et al.2024
2021.11.23,20.7,0.261,0.055,n,ATCA,Goodwin et al.2024
2022.1.21,1.6,0.403,0.211,n,ATCA,Goodwin et al.2024
2022.1.21,2.6,0.497,0.256,n,ATCA,Goodwin et al.2024
2022.1.21,5,0.782,0.272,n,ATCA,Goodwin et al.2024
2022.1.21,6,0.603,0.206,n,ATCA,Goodwin et al.2024
2022.1.21,8.5,0.792,0.11,n,ATCA,Goodwin et al.2024
2022.1.21,9.5,0.741,0.105,n,ATCA,Goodwin et al.2024
2022.1.21,17.2,0.315,0.025,n,ATCA,Goodwin et al.2024
2022.1.21,16.2,0.369,0.027,n,ATCA,Goodwin et al.2024
2022.1.21,21.7,0.269,0.06,n,ATCA,Goodwin et al.2024
2022.1.21,20.7,0.233,0.022,n,ATCA,Goodwin et al.2024
2022.4.4,1.6,0.452,0.263,n,ATCA,Goodwin et al.2024
2022.4.4,2.6,0.547,0.347,n,ATCA,Goodwin et al.2024
2022.4.4,5,0.565,0.195,n,ATCA,Goodwin et al.2024
2022.4.4,6,0.481,0.189,n,ATCA,Goodwin et al.2024
2022.4.4,8.5,0.526,0.096,n,ATCA,Goodwin et al.2024
2022.4.4,9.5,0.621,0.216,n,ATCA,Goodwin et al.2024
2022.8.27,2.1,0.328,0.212,n,ATCA,Goodwin et al.2024
2022.8.27,5,0.671,0.222,n,ATCA,Goodwin et al.2024
2022.8.27,6,0.643,0.21,n,ATCA,Goodwin et al.2024
2022.8.27,8.5,0.552,0.069,n,ATCA,Goodwin et al.2024
2022.8.27,9.5,0.495,0.063,n,ATCA,Goodwin et al.2024
2022.8.27,17.2,0.222,0.015,n,ATCA,Goodwin et al.2024
2022.8.27,16.2,0.177,0.018,n,ATCA,Goodwin et al.2024
2022.8.27,21.7,0.211,0.03,n,ATCA,Goodwin et al.2024
2022.8.27,20.7,0.218,0.023,n,ATCA,Goodwin et al.2024
2022.12.11,2.1,0.302,0.186,n,ATCA,Goodwin et al.2024
2022.12.11,9.5,0.399,0.058,n,ATCA,Goodwin et al.2024
2022.12.11,17.2,0.251,0.032,n,ATCA,Goodwin et al.2024
2022.12.11,16.2,0.32,0.031,n,ATCA,Goodwin et al.2024
2022.12.11,21.7,0.351,0.08,n,ATCA,Goodwin et al.2024
2022.12.11,20.7,0.076,0.019,n,ATCA,Goodwin et al.2024
2023.3.17,2.1,0.32,0.328,n,ATCA,Goodwin et al.2024
2023.3.17,5,0.565,0.236,n,ATCA,Goodwin et al.2024
2023.3.17,6,0.488,0.179,n,ATCA,Goodwin et al.2024
2023.3.17,8.5,0.393,0.063,n,ATCA,Goodwin et al.2024
2023.3.17,9.5,0.329,0.055,n,ATCA,Goodwin et al.2024
2023.3.17,16.7,0.144,0.024,n,ATCA,Goodwin et al.2024
2023.6.7,2.6,0.316,0.186,n,ATCA,Goodwin et al.2024
2023.6.7,16.7,0.172,0.018,n,ATCA,Goodwin et al.2024
2022/12/11,5,0.649,0.025,n,ATCA,"Goodwin et al.2024, Goodwin et al.2025"
2022/12/11,5.5,0.649,0.025,n,ATCA,Goodwin et al.2025
2022/12/11,6,0.609,0.018,n,ATCA,"Goodwin et al.2024, Goodwin et al.2025"
2022/12/11,8.5,0.467,0.016,n,ATCA,"Goodwin et al.2024, Goodwin et al.2025"
2022/12/11,9,0.399,0.018,n,ATCA,Goodwin et al.2025
2022/12/11,9.5,0.399,0.018,n,ATCA,"Goodwin et al.2024, Goodwin et al.2025"
2023/6/7,2.1,0.316,0.044,n,ATCA,Goodwin et al.2025
2023/6/7,5,0.611,0.022,n,ATCA,"Goodwin et al.2024, Goodwin et al.2025"
2023/6/7,5.5,0.611,0.022,n,ATCA,Goodwin et al.2025
2023/6/7,6,0.616,0.02,n,ATCA,"Goodwin et al.2024, Goodwin et al.2025"
2023/6/7,8.5,0.395,0.019,n,ATCA,"Goodwin et al.2024, Goodwin et al.2025"
2023/6/7,9,0.303,0.018,n,ATCA,Goodwin et al.2025
2023/6/7,9.5,0.303,0.018,n,ATCA,"Goodwin et al.2024, Goodwin et al.2025"
