MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
59625.07,8.5,0.033,0.007,n,VLA,Andreoni et al.2022
59625.07,9.5,0.046,0.007,n,VLA,Andreoni et al.2022
59625.07,10.5,0.051,0.008,n,VLA,Andreoni et al.2022
59625.07,11.5,0.068,0.009,n,VLA,Andreoni et al.2022
59626.07,8.5,0.043,0.008,n,VLA,Andreoni et al.2022
59626.07,9.5,0.049,0.007,n,VLA,Andreoni et al.2022
59626.07,10.5,0.084,0.008,n,VLA,Andreoni et al.2022
59626.07,11.5,0.097,0.009,n,VLA,Andreoni et al.2022
59626.1,12.8,0.106,0.009,n,VLA,Andreoni et al.2022
59626.1,14.3,0.148,0.008,n,VLA,Andreoni et al.2022
59626.1,15.9,0.176,0.008,n,VLA,Andreoni et al.2022
59626.1,17.1,0.212,0.008,n,VLA,Andreoni et al.2022
59626.12,5,0.023,0.008,y,VLA,Andreoni et al.2022
59626.12,7,0.019,0.006,n,VLA,Andreoni et al.2022
59627.06,8.5,0.073,0.011,n,VLA,Andreoni et al.2022
59627.06,9.5,0.09,0.01,n,VLA,Andreoni et al.2022
59627.06,10.5,0.137,0.01,n,VLA,Andreoni et al.2022
59627.06,11.5,0.141,0.012,n,VLA,Andreoni et al.2022
59627.84,41,1.54,0.05,n,VLA,Andreoni et al.2022
59627.84,43,1.75,0.06,n,VLA,Andreoni et al.2022
59627.84,45,1.76,0.07,n,VLA,Andreoni et al.2022
59627.84,47,1.9,0.09,n,VLA,Andreoni et al.2022
59627.86,31.5,0.955,0.021,n,VLA,Andreoni et al.2022
59627.86,33.5,0.969,0.024,n,VLA,Andreoni et al.2022
59627.86,35.5,1.127,0.024,n,VLA,Andreoni et al.2022
59627.86,37.5,1.226,0.031,n,VLA,Andreoni et al.2022
59627.88,19.2,0.349,0.012,n,VLA,Andreoni et al.2022
59627.88,21.2,0.404,0.013,n,VLA,Andreoni et al.2022
59627.88,23.2,0.506,0.013,n,VLA,Andreoni et al.2022
59627.88,25.2,0.576,0.014,n,VLA,Andreoni et al.2022
59627.88,8.5,0.069,0.009,n,VLA,Andreoni et al.2022
59627.88,9.5,0.078,0.009,n,VLA,Andreoni et al.2022
59627.88,10.5,0.09,0.009,n,VLA,Andreoni et al.2022
59627.88,11.5,0.142,0.01,n,VLA,Andreoni et al.2022
59627.9,12.8,0.156,0.011,n,VLA,Andreoni et al.2022
59627.9,14.3,0.189,0.01,n,VLA,Andreoni et al.2022
59627.9,15.9,0.249,0.009,n,VLA,Andreoni et al.2022
