MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
59661,5.5,0.593,0.019,n,ATCA,Malyali et al.2024
59661,9,0.536,0.017,n,ATCA,Malyali et al.2024
59819,5.5,0.211,0.011,n,ATCA,Malyali et al.2024
59819,9,0.152,0.01,n,ATCA,Malyali et al.2024
59912,5.5,0.171,0.008,n,ATCA,Malyali et al.2024
59912,9,0.127,0.006,n,ATCA,Malyali et al.2024
58163.9,3,0.46,,y,VLASS,Anumarlapudi et al.2024
58598,0.8875,1.29,0.3,n,RACS-low,Anumarlapudi et al.2024
59156.2,3,0.48,,y,VLASS,Anumarlapudi et al.2024
59275.3,1.3675,0.56,0.16,n,RACS-mid,Anumarlapudi et al.2024
59591.5,1.6555,0.65,,y,RACS-high,Anumarlapudi et al.2024
59680.2,0.8875,0.76,0.21,n,RACS-low,Anumarlapudi et al.2024
