UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
21-11-2024,10,0.0165,,y,VLA:A,Sfaradi et al.2025
03-01-2025,3,0.06,0.02,n,VLA:A,Sfaradi et al.2025
03-01-2025,6,0.27,0.03,n,VLA:A,Sfaradi et al.2025
03-01-2025,10,0.6,0.06,n,VLA:A,Sfaradi et al.2025
03-01-2025,13,0.9,0.1,n,VLA:A,Sfaradi et al.2025
03-01-2025,15,1.01,0.1,n,VLA:A,Sfaradi et al.2025
03-01-2025,17,1.1,0.11,n,VLA:A,Sfaradi et al.2025
11-01-2025,97.5,0.22,0.03,n,ALMA,Sfaradi et al.2025
12-01-2025,15.5,0.64,0.23,n,AMI-LA,Sfaradi et al.2025
13-01-2025,203,0.09,,y,ALMA,Sfaradi et al.2025
15-01-2025,15.5,0.69,0.15,n,AMI-LA,Sfaradi et al.2025
22-01-2025,15.5,0.52,0.18,n,AMI-LA,Sfaradi et al.2025
23-01-2025,3,0.13,0.02,n,VLA:A,Sfaradi et al.2025
23-01-2025,6,0.36,0.04,n,VLA:A,Sfaradi et al.2025
23-01-2025,10,0.43,0.05,n,VLA:A,Sfaradi et al.2025
23-01-2025,15,0.38,0.04,n,VLA:A,Sfaradi et al.2025
26-01-2025,97.5,0.14,0.02,n,ALMA:3,Sfaradi et al.2025
30-01-2025,15.5,0.3,0.1,n,AMI-LA,Sfaradi et al.2025
01-02-2025,1.5,0.081,,y,VLA:A,Sfaradi et al.2025
01-02-2025,3,0.15,0.02,n,VLA:A,Sfaradi et al.2025
01-02-2025,6,0.27,0.03,n,VLA:A,Sfaradi et al.2025
01-02-2025,10,0.28,0.03,n,VLA:A,Sfaradi et al.2025
01-02-2025,15,0.22,0.03,n,VLA:A,Sfaradi et al.2025
14-02-2025,3,0.17,0.04,n,VLA:A->D,Sfaradi et al.2025
14-02-2025,6,0.22,0.04,n,VLA:A->D,Sfaradi et al.2025
14-02-2025,10,0.2,0.04,n,VLA:A->D,Sfaradi et al.2025
14-02-2025,15,0.17,0.04,n,VLA:A->D,Sfaradi et al.2025
07-03-2025,15.5,0.45,0.08,n,AMI-LA,Sfaradi et al.2025
13-03-2025,15.5,0.92,0.14,n,AMI-LA,Sfaradi et al.2025
17-03-2025,15.5,1.26,0.15,n,AMI-LA,Sfaradi et al.2025
20-03-2025,1.5,2.34,,y,ATA,Sfaradi et al.2025
20-03-2025,3,1.26,,y,ATA,Sfaradi et al.2025
20-03-2025,5,1.38,0.35,n,ATA,Sfaradi et al.2025
20-03-2025,8,1.72,0.57,n,ATA,Sfaradi et al.2025
25-03-2025,15.5,1.69,0.2,n,AMI-LA,Sfaradi et al.2025
27-03-2025,1.5,1.59,,y,ATA,Sfaradi et al.2025
27-03-2025,3,1.17,,y,ATA,Sfaradi et al.2025
27-03-2025,5,1.63,0.4,n,ATA,Sfaradi et al.2025
27-03-2025,8,1.42,0.42,n,ATA,Sfaradi et al.2025
31-03-2025,3,0.74,0.09,n,VLA:D,Sfaradi et al.2025
31-03-2025,6,1.53,0.15,n,VLA:D,Sfaradi et al.2025
31-03-2025,10,2.02,0.2,n,VLA:D,Sfaradi et al.2025
31-03-2025,15,2.13,0.22,n,VLA:D,Sfaradi et al.2025
31-03-2025,22,2.1,0.21,n,VLA:D,Sfaradi et al.2025
07-04-2025,15.5,2.32,0.24,n,AMI-LA,Sfaradi et al.2025
09-04-2025,97.5,2.62,0.26,n,ALMA,Sfaradi et al.2025
09-04-2025,203,1.66,0.18,n,ALMA,Sfaradi et al.2025
10-04-2025,3,1.26,,y,ATA,Sfaradi et al.2025
10-04-2025,5,1.46,0.33,n,ATA,Sfaradi et al.2025
10-04-2025,8,1.7,0.4,n,ATA,Sfaradi et al.2025
21-04-2025,225.5,0.96,0.32,n,SMA,Sfaradi et al.2025
23-04-2025,15.5,2.92,0.31,n,AMI-LA,Sfaradi et al.2025
24-04-2025,1.5,2.34,,y,ATA,Sfaradi et al.2025
24-04-2025,3,1.64,0.43,n,ATA,Sfaradi et al.2025
24-04-2025,5,2.8,0.59,n,ATA,Sfaradi et al.2025
24-04-2025,8,3.19,0.69,n,ATA,Sfaradi et al.2025
26-04-2025,225.5,0.87,,y,SMA,Sfaradi et al.2025
29-04-2025,2.5,0.91,0.16,n,VLA:D,Sfaradi et al.2025
29-04-2025,3.5,1.61,0.17,n,VLA:D,Sfaradi et al.2025
29-04-2025,6,2.18,0.22,n,VLA:D,Sfaradi et al.2025
29-04-2025,10,2.39,0.24,n,VLA:D,Sfaradi et al.2025
29-04-2025,22,1.95,0.2,n,VLA:D,Sfaradi et al.2025
30-04-2025,90.5,0.87,0.09,n,ALMA,Sfaradi et al.2025
30-04-2025,196,0.4,0.05,n,ALMA,Sfaradi et al.2025
01-05-2025,3,1.65,0.5,n,ATA,Sfaradi et al.2025
01-05-2025,5,2.48,0.52,n,ATA,Sfaradi et al.2025
01-05-2025,8,2.38,0.55,n,ATA,Sfaradi et al.2025
05-05-2025,3,1.78,0.47,n,ATA,Sfaradi et al.2025
05-05-2025,5,2.25,0.54,n,ATA,Sfaradi et al.2025
05-05-2025,8,2.29,0.51,n,ATA,Sfaradi et al.2025
07-05-2025,225.5,0.93,,y,SMA,Sfaradi et al.2025
09-05-2025,225.5,0.57,,y,SMA,Sfaradi et al.2025
15-05-2025,3,1.45,0.45,n,ATA,Sfaradi et al.2025
15-05-2025,5,2.26,0.49,n,ATA,Sfaradi et al.2025
15-05-2025,8,1.83,0.46,n,ATA,Sfaradi et al.2025
29-05-2025,3,1.7,0.51,n,ATA,Sfaradi et al.2025
29-05-2025,5,1.92,0.42,n,ATA,Sfaradi et al.2025
29-05-2025,8,1.6,0.4,n,ATA,Sfaradi et al.2025
05-06-2025,2.5,2.14,0.22,n,VLA:C,Sfaradi et al.2025
05-06-2025,3.5,2.78,0.28,n,VLA:C,Sfaradi et al.2025
05-06-2025,6,2.73,0.27,n,VLA:C,Sfaradi et al.2025
05-06-2025,10,2.36,0.24,n,VLA:C,Sfaradi et al.2025
05-06-2025,15,2.03,0.21,n,VLA:C,Sfaradi et al.2025
05-06-2025,22,1.66,0.17,n,VLA:C,Sfaradi et al.2025
