MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
53372.5,2.3,0,0.195,n,VLBA+GBT,Mattila et al.2018
53568.5,2.3,0,0.21,n,VLBA+GBT,Mattila et al.2018
53311.5,8.4,0,0.39,n,VLA,Mattila et al.2018
53372.5,8.4,0,0.099,n,VLBA+GBT,Mattila et al.2018
53409.5,22.5,2.704,0.82,n,VLA,Mattila et al.2018
53539.5,22.5,11.395,3.45,n,VLA,Mattila et al.2018
53568.5,8.4,1.15,0.132,n,VLBA+GBT,Mattila et al.2018
53840.5,8.4,7.67,2.32,n,VLA,Mattila et al.2018
54989.5,1.7,9.574,0.963,n,EVN,Mattila et al.2018
54994.5,5,7.645,0.767,n,EVN,Mattila et al.2018
55344.5,5,3.967,0.416,n,EVN,Mattila et al.2018
55352.5,1.7,15.143,1.522,n,EVN,Mattila et al.2018
55713.5,5,3.428,0.361,n,EVN,Mattila et al.2018
55724.5,1.7,8.893,0.892,n,EVN,Mattila et al.2018
55855.5,5,3.815,0.391,n,EVN,Mattila et al.2018
56074.5,8.4,1.557,0.171,n,EVN,Mattila et al.2018
56090.5,1.7,9.547,0.959,n,EVN,Mattila et al.2018
56231.5,5,4.653,0.489,n,EVN,Mattila et al.2018
56348.5,5,3.187,0.337,n,EVN,Mattila et al.2018
56358.5,8.4,2.416,0.263,n,EVN,Mattila et al.2018
56364.5,1.7,9.826,0.985,n,EVN,Mattila et al.2018
56438.5,5,3.078,0.312,n,EVN,Mattila et al.2018
56449.5,1.7,9.804,0.983,n,EVN,Mattila et al.2018
56452.5,8.4,0.77,0.107,n,EVN,Mattila et al.2018
56588.5,5,3.01,0.307,n,EVN,Mattila et al.2018
56601.5,8.4,1.349,0.146,n,EVN,Mattila et al.2018
56720.5,5,2.204,0.224,n,EVN,Mattila et al.2018
57085.5,5,1.52,0.179,n,EVN,Mattila et al.2018
57176.5,8.4,0.878,0.153,n,EVN+VLBA,Mattila et al.2018
57178.5,5,2.721,0.316,n,EVN+VLBA,Mattila et al.2018
57185.5,1.7,5.913,0.603,n,EVN+VLBA,Mattila et al.2018
57605.5,5,1.841,0.201,n,VLBA,Mattila et al.2018
57605.5,1.5,5.813,0.597,n,VLBA,Mattila et al.2018
57605.5,8.4,0.562,0.114,n,VLBA,Mattila et al.2018
57788.5,5,1.88,0.2,n,VLBA,Mattila et al.2018
