UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
(E1) 2013 Dec 29,2.9,0.296,,y,VLA,Anderson et al.2020
(E2) 2014 Jan 11,2.9,0.279,,y,VLA,Anderson et al.2020
(E3) 2014 Feb 17,2.9,0.276,,y,VLA,Anderson et al.2020
(E4) 2015 Mar 21,2.9,4.4,0.1,n,VLA,Anderson et al.2020
(E5) 2015 Apr 19,2.9,5.1,0.1,n,VLA,Anderson et al.2020
2015 May 10.53,1.4,3.31,0.36,n,VLA,Anderson et al.2020
2015 May 10.53,1.8,4.53,0.41,n,VLA,Anderson et al.2020
2015 May 10.53,2.6,6.8,0.16,n,VLA,Anderson et al.2020
2015 May 10.53,2.9,7.49,0.11,n,VLA,Anderson et al.2020
2015 May 10.53,3.2,7.72,0.07,n,VLA,Anderson et al.2020
2015 May 10.55,4.4,8.21,0.08,n,VLA,Anderson et al.2020
2015 May 10.55,5.1,8.14,0.04,n,VLA,Anderson et al.2020
2015 May 10.55,7.1,6.85,0.04,n,VLA,Anderson et al.2020
2015 May 10.55,7.8,6.5,0.05,n,VLA,Anderson et al.2020
2015 May 10.55,8.1,6.34,0.04,n,VLA,Anderson et al.2020
2015 May 10.55,8.6,6.17,0.04,n,VLA,Anderson et al.2020
2015 May 10.55,9.1,5.93,0.04,n,VLA,Anderson et al.2020
2015 May 10.55,9.6,5.63,0.04,n,VLA,Anderson et al.2020
2015 May 10.55,10.2,5.45,0.04,n,VLA,Anderson et al.2020
2015 May 10.55,10.7,5.23,0.04,n,VLA,Anderson et al.2020
2015 May 10.55,11.4,4.85,0.04,n,VLA,Anderson et al.2020
2015 May 10.57,13.3,4.16,0.05,n,VLA,Anderson et al.2020
2015 May 10.57,13.8,4.06,0.04,n,VLA,Anderson et al.2020
2015 May 10.57,15.8,3.33,0.05,n,VLA,Anderson et al.2020
2015 May 10.57,16.3,3.23,0.04,n,VLA,Anderson et al.2020
2015 Jun 12.71,1.3,3.8,0.2,n,VLA,Anderson et al.2020
2015 Jun 12.71,1.5,4.38,0.17,n,VLA,Anderson et al.2020
2015 Jun 12.71,1.8,5.14,0.17,n,VLA,Anderson et al.2020
2015 Jun 12.72,2.4,6.64,0.08,n,VLA,Anderson et al.2020
2015 Jun 12.72,3,7.77,0.06,n,VLA,Anderson et al.2020
2015 Jun 12.72,3.4,7.88,0.06,n,VLA,Anderson et al.2020
2015 Jun 12.72,3.8,8.08,0.07,n,VLA,Anderson et al.2020
2015 Jun 12.72,4.5,8.19,0.1,n,VLA,Anderson et al.2020
2015 Jun 12.72,5.1,7.74,0.1,n,VLA,Anderson et al.2020
2015 Jun 12.72,7.1,6.24,0.14,n,VLA,Anderson et al.2020
2015 Jun 12.72,7.7,5.96,0.15,n,VLA,Anderson et al.2020
2015 Jun 12.73,8.5,5.68,0.08,n,VLA,Anderson et al.2020
2015 Jun 12.73,9.8,5.03,0.1,n,VLA,Anderson et al.2020
2015 Jun 12.73,11,4.32,0.11,n,VLA,Anderson et al.2020
2015 Jun 12.74,15.7,3.1,0.25,n,VLA,Anderson et al.2020
2015 Jun 12.74,16.3,3.1,0.22,n,VLA,Anderson et al.2020
2015 Oct 15.32,1.3,4.87,0.66,n,VLA,Anderson et al.2020
2015 Oct 15.32,1.8,5.27,0.2,n,VLA,Anderson et al.2020
2015 Oct 15.32,2.4,7.5,0.17,n,VLA,Anderson et al.2020
2015 Oct 15.32,2.9,7.25,0.1,n,VLA,Anderson et al.2020
2015 Oct 15.32,3.3,7.24,0.09,n,VLA,Anderson et al.2020
2015 Oct 15.33,4.7,6.31,0.06,n,VLA,Anderson et al.2020
2015 Oct 15.33,5.3,5.93,0.05,n,VLA,Anderson et al.2020
2015 Oct 15.33,5.7,5.61,0.05,n,VLA,Anderson et al.2020
2015 Oct 15.33,6.2,5.22,0.06,n,VLA,Anderson et al.2020
2015 Oct 15.33,8.5,3.86,0.04,n,VLA,Anderson et al.2020
2015 Oct 15.33,9.5,3.44,0.04,n,VLA,Anderson et al.2020
2015 Oct 15.34,13.5,2.11,0.04,n,VLA,Anderson et al.2020
2015 Oct 15.34,14.5,2.08,0.03,n,VLA,Anderson et al.2020
2016 Jul 08.60,1.3,4.18,0.16,n,VLA,Anderson et al.2020
2016 Jul 08.60,1.8,4.93,0.14,n,VLA,Anderson et al.2020
2016 Jul 08.60,2.5,4.44,0.07,n,VLA,Anderson et al.2020
2016 Jul 08.60,3.4,3.79,0.06,n,VLA,Anderson et al.2020
2016 Jul 08.61,4.8,2.94,0.05,n,VLA,Anderson et al.2020
2016 Jul 08.61,7.4,1.6,0.05,n,VLA,Anderson et al.2020
2016 Jul 08.61,8.5,1.36,0.05,n,VLA,Anderson et al.2020
2016 Jul 08.61,10.9,1.02,0.05,n,VLA,Anderson et al.2020
2016 Jul 08.61,13.5,0.71,0.05,n,VLA,Anderson et al.2020
2016 Jul 08.61,16.5,0.67,0.05,n,VLA,Anderson et al.2020
2017 Dec 20.03,1.2,2.11,0.24,n,VLA,Anderson et al.2020
2017 Dec 20.03,1.58,1.88,0.29,n,VLA,Anderson et al.2020
2017 Dec 20.03,1.87,1.35,0.16,n,VLA,Anderson et al.2020
2015 Nov 10.15,4.37,4.67,0.06,n,VLBA,Anderson et al.2020
2015 Nov 10.15,7.4,2.95,0.08,n,VLBA,Anderson et al.2020
2016 Aug 31.35,4.37,2.33,0.07,n,VLBA,Anderson et al.2020
2016 Aug 31.35,7.4,1.07,0.07,n,VLBA,Anderson et al.2020
