UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
1968,0.408,750,,y,Bologna,Ravi et al.2022
1974–1983,0.365,1200,,y,Texas,Ravi et al.2022
1983 Apr 2–21,1.4,300,,y,GBNSS,Ravi et al.2022
1986 Nov 6–Dec 13,4.85,65,8,n,GB6,Ravi et al.2022
1987 Sep 30–Nov 1,4.85,42,8,n,GB6,Ravi et al.2022
1987 Jan,0.0345,15000,,y,GEETEE,Ravi et al.2022
1995 Apr 16,1.4,9.1,0.5,n,NVSS,Ravi et al.2022
1995 Nov 6,1.4,9.7,0.1,n,FIRST,Ravi et al.2022
1998 May 22,8.46,1.5,,y,CLASS,Ravi et al.2022
2001 Sep 14,1.425,3,,y,CLASS,Ravi et al.2022
2001 Sep 14,4.86,1.5,,y,CLASS,Ravi et al.2022
2001 Sep 14,8.46,1.5,,y,CLASS,Ravi et al.2022
2001 Sep 14,22.46,7.5,,y,CLASS,Ravi et al.2022
2006,0.074,300,,y,VLSSr,Ravi et al.2022
2010 Apr–2012 Mar,0.15,15,,y,TGSS,Ravi et al.2022
2017 Oct 2,3,0.46,,y,VLASS,Ravi et al.2022
2019 May 14,1.52,0.36,0.03,n,19A-470,Ravi et al.2022
2019 May 14,5,0.132,0.009,n,19A-470,Ravi et al.2022
2019 May 14,7,0.1,0.009,n,19A-470,Ravi et al.2022
2020 Sep 6,3,0.57,,y,VLASS,Ravi et al.2022
