UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2016 Sept 22,15.5,0.069,,y,VLA,Cendes et al.2024
2016 Dec 21,6,0.075,,y,VLA,Cendes et al.2024
2017 Jun 4,3,0.0323,,y,VLA,Cendes et al.2024
2017 Aug 22,6,0.075,,y,VLA,Cendes et al.2024
2019 Jun 16,0.887,1.002,0.015,n,ASKAP,Cendes et al.2024
2020 Jun 6,6,0.021,0.008,n,VLA,Cendes et al.2024
2020 Sept 4,3,0.845,,y,VLA,Cendes et al.2024
2021 Jun 14,3,0.361,0.076,n,VLA,Cendes et al.2024
2021 Jun 14,5,0.285,0.013,n,VLA,Cendes et al.2024
2021 Jun 14,7,0.26,0.009,n,VLA,Cendes et al.2024
2021 Jun 14,9,0.256,0.01,n,VLA,Cendes et al.2024
2021 Jun 14,11,0.228,0.009,n,VLA,Cendes et al.2024
2022 Nov 23,1.25,0.767,,y,VLA,Cendes et al.2024
2022 Nov 23,1.75,0.193,0.047,n,VLA,Cendes et al.2024
2022 Nov 23,3,0.21,0.058,n,VLA,Cendes et al.2024
2022 Nov 23,6,0.163,0.012,n,VLA,Cendes et al.2024
2022 Nov 23,10,0.089,0.015,n,VLA,Cendes et al.2024
2022 Nov 23,15,0.086,0.008,n,VLA,Cendes et al.2024
2022 Nov 23,20,0.053,0.012,n,VLA,Cendes et al.2024
2022 Nov 23,24,0.039,0.011,n,VLA,Cendes et al.2024
