UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
 2000 Feb,1.4,1.01,,y,FIRST,Zhang et al. (2026)
 2018 Nov 17,5.5,0.711,0.037,n,VLA,Zhang et al. (2026)
2020 Jun 25,1.5,0.31,,y,VLA,Zhang et al. (2026)
2020 Jun 26,5.5,1.7,0.086,n,VLA,Zhang et al. (2026)
2021 Aug 06,5.5,0.52,0.075,n,VLA,Zhang et al. (2026)
2021 Oct 19,1.5,0.727,0.042,n,VLA,Zhang et al. (2026)
2021 Sep 30,5.5,0.413,0.021,n,VLA,Zhang et al. (2026)
2021 Sep 24,9,0.155,,y,VLA,Zhang et al. (2026)
2021 Dec 29,1.5,0.74,,y,VLA,Zhang et al. (2026)
2022 Jan 26,3,0.398,0.023,n,VLA,Zhang et al. (2026)
2022 Jan 24,5.5,0.304,0.016,n,VLA,Zhang et al. (2026)
2017 Nov 22,3,0.703,,y,VLASS,Zhang et al. (2026)
2020 Jul 21,3,0.8,,y,VLASS,Zhang et al. (2026)
2023 Feb 16,3,0.855,,y,VLASS,Zhang et al. (2026)
2021 Mar 17,8.4,0.406,0.031,n,VLBA,Zhang et al. (2026)
2019 Dec 20,1.4,0.545,,y,GMRT,Zhang et al. (2026)
2021 Sep 03,0.7,0.907,,y,GMRT,Zhang et al. (2026)
2021 Dec 15,0.7,0.349,0.055,n,GMRT,Zhang et al. (2026)
2021 Dec 19,1.2,0.558,0.058,n,GMRT,Zhang et al. (2026)
2023 Oct 20,0.8,0.285,0.019,n,MeerKAT,Zhang et al. (2026)
2023 Oct 20,1.3,0.311,0.017,n,MeerKAT,Zhang et al. (2026)
2023 Oct 28,2.2,0.205,0.011,n,MeerKAT,Zhang et al. (2026)
2023 Nov 07,3.1,0.19,0.01,n,MeerKAT,Zhang et al. (2026)
