MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
55648.82,225,33,,y,SMA,Zauderer et al.2011-nature
55649.37,4.9,0.25,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55649.37,6.7,0.38,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55650.26,4.9,0.34,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55650.26,6.7,0.63,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55650.29,19.1,2.12,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55650.29,24.4,3.01,0.03,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55650.4,87,15.66,0.51,n,CARMA,"Berger et al.2012, Zauderer et al.2011-nature"
55650.5,4.9,0.34,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55650.5,6.7,0.64,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55650.63,345,35.1,0.8,n,SMA,"Berger et al.2012, Zauderer et al.2011-nature"
55651.25,43.6,8.11,0.16,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55651.28,1.4,0.3,,y,EVLA,Zauderer et al.2011-nature
55651.28,1.8,0.15,,y,EVLA,Zauderer et al.2011-nature
55651.29,4.9,0.61,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55651.29,6.7,1.16,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55651.31,15.4,2.69,0.44,n,AMI-LA,"Berger et al.2012, Zauderer et al.2011-nature"
55651.37,15,2.36,1.14,n,OVRO40,Zauderer et al.2011-nature
55651.39,345,10.2,,y,SMA,Zauderer et al.2011-nature
55652.14,15.4,3.62,0.22,n,AMI-LA,"Berger et al.2012, Zauderer et al.2011-nature"
55652.154,4.8,0.99,0.021,n,WSRT,Wiersema et al.2012
55652.25,19.1,4.36,0.05,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55652.25,24.4,5.58,0.06,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55652.25,43.6,7.7,0.14,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55652.28,1.8,0.15,,y,EVLA,Zauderer et al.2011-nature
55652.28,4.9,0.82,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55652.29,1.4,0.21,0.08,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55652.29,6.7,1.47,0.02,n,EVLA,"Berger et al.2012, Zauderer et al.2011-nature"
55652.34,15,3.17,1.17,n,OVRO40,Zauderer et al.2011-nature
