UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2019 Apr. 12,0.34,18.6,3.4,n,VLITE,Golay et al.2026
2021 Dec. 01,0.34,15.8,3.4,n,VLITE,Golay et al.2026
2024 Jun. 19,0.34,14.3,,y,VLITE,Golay et al.2026
2019 Apr. 12,3,29.56,0.12,n,VLA,Golay et al.2026
2021 Dec. 01,3,73.68,0.13,n,VLA,Golay et al.2026
2024 Jun. 19,3,33.87,0.13,n,VLA,Golay et al.2026
2023 Dec. 21,9,22.58,0.02,n,VLA,Golay et al.2026
2023 Dec. 21,11,20.16,0.028,n,VLA,Golay et al.2026
2024 Mar. 22,0.34,10.8,2.6,n,VLITE,Golay et al.2026
2024 Mar. 22,1.125,41.93,1.21,n,VLA,Golay et al.2026
2024 Mar. 22,1.375,46.97,0.21,n,VLA,Golay et al.2026
2024 Mar. 22,1.625,46.47,0.28,n,VLA,Golay et al.2026
2024 Mar. 22,1.875,44.32,0.12,n,VLA,Golay et al.2026
2024 Mar. 22,2.25,44.48,0.1,n,VLA,Golay et al.2026
2024 Mar. 22,2.75,42.18,0.06,n,VLA,Golay et al.2026
2024 Mar. 22,3.25,39.58,0.05,n,VLA,Golay et al.2026
2024 Mar. 22,3.75,35.89,0.06,n,VLA,Golay et al.2026
2024 Mar. 22,4.5,32.2,0.05,n,VLA,Golay et al.2026
2024 Mar. 22,5.5,28.77,0.06,n,VLA,Golay et al.2026
2024 Mar. 22,8.5,22.66,0.05,n,VLA,Golay et al.2026
2024 Mar. 22,9.5,20.9,0.05,n,VLA,Golay et al.2026
2024 Mar. 22,10.5,19.08,0.06,n,VLA,Golay et al.2026
2024 Mar. 22,11.5,17.23,0.06,n,VLA,Golay et al.2026
2024 Mar. 22,13,15.79,0.04,n,VLA,Golay et al.2026
2024 Mar. 22,15,13.74,0.04,n,VLA,Golay et al.2026
2024 Mar. 22,17,12.32,0.04,n,VLA,Golay et al.2026
2024 Mar. 22,20,10.19,0.05,n,VLA,Golay et al.2026
2024 Mar. 22,24,8.19,0.05,n,VLA,Golay et al.2026
2024 Mar. 22,31,5.45,0.06,n,VLA,Golay et al.2026
2024 Mar. 22,35,4.65,0.06,n,VLA,Golay et al.2026
2024 Mar. 22,42,4.1,0.12,n,VLA,Golay et al.2026
2024 Mar. 22,46,2.82,0.19,n,VLA,Golay et al.2026
2024 Nov. 09,0.34,16.9,3.7,n,VLITE,Golay et al.2026
2025 Jan. 03,0.34,9.3,2.8,n,VLITE,Golay et al.2026
2025 Jan. 03,1.125,25.78,0.13,n,VLA,Golay et al.2026
2025 Jan. 03,1.375,30.28,0.08,n,VLA,Golay et al.2026
2025 Jan. 03,1.625,33,0.12,n,VLA,Golay et al.2026
2025 Jan. 03,1.875,34.78,0.09,n,VLA,Golay et al.2026
2025 Jan. 03,2.25,33.82,0.09,n,VLA,Golay et al.2026
2025 Jan. 03,2.75,33.81,0.06,n,VLA,Golay et al.2026
2025 Jan. 03,3.25,32.44,0.06,n,VLA,Golay et al.2026
2025 Jan. 03,3.75,30.25,0.06,n,VLA,Golay et al.2026
2025 Jan. 03,4.5,28.02,0.05,n,VLA,Golay et al.2026
2025 Jan. 03,5.5,25.41,0.05,n,VLA,Golay et al.2026
2025 Jan. 03,7.5,22.21,0.05,n,VLA,Golay et al.2026
2025 Jan. 03,8.5,20.03,0.06,n,VLA,Golay et al.2026
2025 Jan. 03,9.5,18.55,0.05,n,VLA,Golay et al.2026
2025 Jan. 03,10.5,16.83,0.05,n,VLA,Golay et al.2026
2025 Jan. 03,11.5,15.34,0.07,n,VLA,Golay et al.2026
2025 Jan. 03,13,14.68,0.04,n,VLA,Golay et al.2026
2025 Jan. 03,15,12.54,0.04,n,VLA,Golay et al.2026
2025 Jan. 03,17,10.08,0.06,n,VLA,Golay et al.2026
2025 Jan. 03,20,9.13,0.04,n,VLA,Golay et al.2026
2025 Jan. 03,24,7.52,0.04,n,VLA,Golay et al.2026
2025 Jan. 03,31,3.9,0.05,n,VLA,Golay et al.2026
2025 Jan. 03,35,3.11,0.05,n,VLA,Golay et al.2026
2025 Jan. 03,42,1.87,0.12,n,VLA,Golay et al.2026
2025 Jan. 03,46,2.16,0.19,n,VLA,Golay et al.2026
