UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2024/4/1,5,0.16,0.026,n,ATCA,Goodwin et al.2025
2024/4/1,5.5,0.175,0.019,n,ATCA,Goodwin et al.2025
2024/4/1,6,0.192,0.024,n,ATCA,Goodwin et al.2025
2024/4/1,8.5,0.139,0.021,n,ATCA,Goodwin et al.2025
2024/4/1,9,0.123,0.017,n,ATCA,Goodwin et al.2025
2024/4/1,9.5,0.115,0.02,n,ATCA,Goodwin et al.2025
2024/10/9,5,0.191,0.016,n,ATCA,Goodwin et al.2025
2024/10/9,5.5,0.183,0.012,n,ATCA,Goodwin et al.2025
2024/10/9,6,0.16,0.015,n,ATCA,Goodwin et al.2025
2024/10/9,8.5,0.184,0.014,n,ATCA,Goodwin et al.2025
2024/10/9,9,0.187,0.009,n,ATCA,Goodwin et al.2025
2024/10/9,9.5,0.201,0.011,n,ATCA,Goodwin et al.2025
2020/3/28,0.89,1.39,0,y,ASKAP RACS,Goodwin et al.2025
2021/1/19,1.37,0.523,0,y,ASKAP RACS,Goodwin et al.2025
