UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2021/3/21,5.5,0.078,0,y,ATCA,Liu et al.2024
2021/3/21,9,0.066,0,y,ATCA,Liu et al.2024
2021/4/26,5.5,0.036,0,y,ATCA,Liu et al.2024
2021/4/26,9,0.047,0,y,ATCA,Liu et al.2024
2021/8/7,5.5,0.125,0,y,ATCA,Liu et al.2024
2021/8/7,9,0.057,0,y,ATCA,Liu et al.2024
2022/3/22,5,0.257,0.011,n,ATCA,Liu et al.2024
2022/3/22,6,0.278,0.011,n,ATCA,Liu et al.2024
2022/3/22,9,0.311,0.012,n,ATCA,Liu et al.2024
2022/4/6,2.1,0.738,0,y,ATCA,Liu et al.2024
2022/4/6,5.5,0.061,0.018,n,ATCA,Liu et al.2024
2022/4/6,9,0.103,0.023,n,ATCA,Liu et al.2024
2022/4/6,17,0.117,0.022,n,ATCA,Liu et al.2024
2022/4/6,21,0.198,0,y,ATCA,Liu et al.2024
2022/8/28,5.5,0.0537,0,y,ATCA,Liu et al.2024
2022/8/28,9,0.0336,0,y,ATCA,Liu et al.2024
2022/9/21,5.5,0.0822,0,y,ATCA,Liu et al.2024
2022/9/21,9,0.0672,0,y,ATCA,Liu et al.2024
2022/9/29,5.5,0.0411,0,y,ATCA,Liu et al.2024
2022/9/29,9,0.0348,0,y,ATCA,Liu et al.2024
2022/10/2,5.5,0.0573,0,y,ATCA,Liu et al.2024
2022/10/2,9,0.0435,0,y,ATCA,Liu et al.2024
2022/10/5,5.5,0.0465,0,y,ATCA,Liu et al.2024
2022/10/5,9,0.075,0.01,n,ATCA,Liu et al.2024
2022/10/7,5.5,0.047,0.005,n,ATCA,Liu et al.2024
2022/10/7,9,0.0403,0,y,ATCA,Liu et al.2024
2022/10/15,5.5,0.243,0,y,ATCA,Liu et al.2024
2022/10/15,9,0.14,0,y,ATCA,Liu et al.2024
2023/3/14,5.5,0.114,0,y,ATCA,Liu et al.2024
2023/3/14,9,0.066,0,y,ATCA,Liu et al.2024
2023/3/31,5.5,0.0765,0,y,ATCA,Liu et al.2024
2023/3/31,9,0.057,0,y,ATCA,Liu et al.2024
